"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Houston Texans","","49.7","14.4","11.6","18.2","2.8","1.0","322.2","5058.6","120.4"
"Denver Broncos","","59.7","13.3","8.3","12.3","2.4","0.5","318.5","4836.6","118.3"
"Minnesota Vikings","","49.3","12.6","12.0","18.0","2.3","0.0","360.9","5289.7","112.6"
"Pittsburgh Steelers","","45.8","13.3","12.9","18.9","2.4","0.0","346.1","5430.6","112.4"
"Seattle Seahawks","","46.4","13.6","8.4","13.6","3.2","0.5","314.0","5101.8","110.6"
"Los Angeles Rams","","48.4","13.4","9.5","14.5","2.4","0.5","341.2","5151.7","109.3"
"Los Angeles Chargers","","48.8","15.3","8.7","12.7","2.0","0.0","366.1","5467.6","108.6"
"Detroit Lions","","48.1","13.4","9.0","13.9","2.2","0.5","373.4","5443.1","107.0"
"Buffalo Bills","","42.7","14.6","9.7","12.8","2.5","0.5","392.1","5726.9","106.9"
"Atlanta Falcons","","49.3","12.6","7.9","12.1","2.3","0.5","419.2","5670.2","104.9"
"Philadelphia Eagles","","42.4","13.0","10.0","14.4","2.4","0.0","323.3","5265.8","102.6"
"Baltimore Ravens","","46.0","12.8","9.3","14.1","1.9","0.0","352.9","5227.8","101.7"
"Chicago Bears","","38.9","14.0","10.7","16.7","2.1","0.0","398.1","5973.8","101.0"
"Cleveland Browns","","46.4","12.1","8.5","12.5","2.2","0.0","384.9","5177.9","101.0"
"New Orleans Saints","","44.9","12.2","8.4","12.9","2.3","0.0","392.1","5426.3","99.9"
"Jacksonville Jaguars","","37.1","13.9","9.6","13.7","2.6","0.0","386.9","5486.6","99.8"
"New England Patriots","","41.1","11.9","9.0","13.0","2.6","0.5","359.4","5330.4","99.5"
"Cincinnati Bengals","","41.2","13.1","9.8","13.4","2.1","0.0","411.4","5816.3","99.2"
"Tampa Bay Buccaneers","","41.2","11.7","9.7","13.5","1.9","0.5","390.5","5579.3","96.5"
"Tennessee Titans","","44.9","10.1","8.5","13.0","2.1","0.5","463.7","5962.6","95.8"
"Green Bay Packers","","40.3","11.9","9.7","13.5","1.9","0.0","366.1","5495.3","95.2"
"Indianapolis Colts","","39.6","13.0","8.8","12.4","1.9","0.0","399.3","5556.4","94.5"
"Washington Commanders","","43.6","9.8","8.8","13.3","2.0","0.5","438.5","6126.1","94.1"
"Kansas City Chiefs","","42.0","12.1","7.9","12.2","1.9","0.0","348.2","5370.3","93.2"
"Dallas Cowboys","","42.1","10.7","8.4","13.0","1.9","0.0","436.9","6046.6","91.6"
"New York Giants","","40.9","10.5","8.8","12.9","2.0","0.0","414.3","6020.0","91.5"
"Miami Dolphins","","42.3","10.2","9.2","14.0","1.6","0.0","448.9","6078.4","90.8"
"Las Vegas Raiders","","40.7","10.2","8.4","14.1","1.8","0.5","440.6","5752.3","89.9"
"Arizona Cardinals","","36.0","11.4","9.2","13.9","1.9","0.5","465.4","6141.3","89.5"
"San Francisco 49ers","","36.0","11.1","9.3","15.4","1.9","0.0","393.3","5617.3","88.2"
"Carolina Panthers","","38.2","11.6","7.1","10.5","1.8","0.0","398.5","5744.2","86.3"
"New York Jets","","37.3","9.9","8.0","12.3","1.9","0.5","431.8","5654.1","85.5"
""
""
